"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"v_1";"v_12";"v_13";"v_14";"v_15";"v_16";"v_17";"v_9";"v_20";"v_21";"v_10";"v_11";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6658839";"rts6658840";"rts6658841";"rts6669991";"rts6670219";"rts6674846";"rnd_pg_6658842"
"36";"0";"0";"31";"6658837";"-77";"74";"3394";"1";"4";"5";"5";"3";"5";"4";"3";"2";"-99";"19";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"58c0d67325823ffac8c654635ae3d527";"1";"0";"1687075331";"2023-06-18 08:02:11";"2023-06-18 08:03:25";"0000-00-00 00:00:00";"7";"0";"26";"51";"74";"63";"6658841"
"37";"0";"0";"31";"6658837";"-77";"348";"4924";"1";"3";"3";"4";"2";"4";"3";"2";"2";"-99";"29";"1";"Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"0613b278cd60c083d2eab011239ae24d";"1";"0";"1687076937";"2023-06-18 08:28:57";"2023-06-18 08:34:45";"0000-00-00 00:00:00";"182";"218";"0";"327";"348";"338";"6658840"
"38";"0";"0";"31";"6658837";"-77";"103";"3274";"1";"6";"5";"6";"3";"6";"5";"2";"4";"-99";"19";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"c92d40c32db2aac69b4c8fd00c7fce73";"1";"0";"1687077480";"2023-06-18 08:38:00";"2023-06-18 08:39:43";"0000-00-00 00:00:00";"21";"0";"47";"84";"103";"91";"6658841"
"39";"0";"0";"31";"6658837";"-77";"123";"3277";"1";"5";"6";"6";"4";"6";"5";"3";"2";"-99";"22";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.5 Safari/605.1.15";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"9068827a51447bfbd8f660e3ce8c62fd";"1";"0";"1687081278";"2023-06-18 09:41:18";"2023-06-18 09:43:21";"0000-00-00 00:00:00";"7";"0";"62";"102";"123";"110";"6658841"
"40";"0";"0";"31";"6658837";"-77";"139";"4690";"1";"4";"4";"4";"4";"4";"4";"2";"2";"-99";"27";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"5c3d50bb9d9ccd2e4c3c52c949a5760a";"1";"0";"1687084095";"2023-06-18 10:28:15";"2023-06-18 10:30:34";"0000-00-00 00:00:00";"21";"73";"0";"117";"139";"128";"6658840"
"41";"0";"0";"31";"6658837";"-77";"98";"3718";"1";"3";"4";"3";"3";"3";"4";"3";"2";"-99";"19";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"f24ed70b584520c660d5ae79a14061cc";"1";"0";"1687085709";"2023-06-18 10:55:09";"2023-06-18 10:56:47";"0000-00-00 00:00:00";"10";"35";"0";"76";"98";"86";"6658840"
"43";"0";"0";"31";"6658837";"-77";"80";"3271";"1";"6";"6";"6";"4";"6";"6";"5";"1";"-99";"24";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"9b548a235411e6bbdc83ebaa05595261";"1";"0";"1687087609";"2023-06-18 11:26:49";"2023-06-18 11:28:09";"0000-00-00 00:00:00";"9";"35";"0";"63";"80";"70";"6658840"
"45";"0";"0";"31";"6658837";"-77";"179";"-77";"1";"5";"5";"5";"5";"5";"5";"3";"2";"-99";"24";"1";"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-G998B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/21.0 Chrome/110.0.5481.154 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"b46c7bcf6261977270ef6b293e4c7d64";"1";"0";"1687088021";"2023-06-18 11:33:41";"2023-06-18 11:36:40";"0000-00-00 00:00:00";"33";"92";"0";"157";"179";"168";"6658840"
"46";"0";"0";"31";"6658837";"-77";"112";"-77";"1";"4";"4";"4";"4";"4";"4";"2";"1";"-99";"30";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"2c92a309ab3e9acdeec2be003357f8c0";"1";"0";"1687088130";"2023-06-18 11:35:30";"2023-06-18 11:37:22";"0000-00-00 00:00:00";"17";"0";"53";"91";"112";"100";"6658841"
"50";"0";"0";"31";"6658837";"-77";"94";"-77";"1";"4";"4";"4";"4";"4";"4";"5";"2";"-99";"27";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36";"-99";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"8df4170e738753859d70178657456a7b";"1";"0";"1687088876";"2023-06-18 11:47:56";"2023-06-18 11:49:30";"0000-00-00 00:00:00";"11";"0";"42";"72";"94";"81";"6658841"
